date,province,country,lat,long,type,cases
2020-07-20,NA,Denmark,56.2639,9.5018,confirmed,89
2020-07-21,NA,Denmark,56.2639,9.5018,confirmed,40
2020-07-22,NA,Denmark,56.2639,9.5018,confirmed,48
2020-07-23,NA,Denmark,56.2639,9.5018,confirmed,40
2020-07-24,NA,Denmark,56.2639,9.5018,confirmed,48
2020-07-25,NA,Denmark,56.2639,9.5018,confirmed,0
2020-07-26,NA,Denmark,56.2639,9.5018,confirmed,0
2020-07-27,NA,Denmark,56.2639,9.5018,confirmed,109
2020-07-28,NA,Denmark,56.2639,9.5018,confirmed,30
2020-07-29,NA,Denmark,56.2639,9.5018,confirmed,57
2020-07-30,NA,Denmark,56.2639,9.5018,confirmed,91
2020-07-31,NA,Denmark,56.2639,9.5018,confirmed,64
2020-08-01,NA,Denmark,56.2639,9.5018,confirmed,0
2020-08-02,NA,Denmark,56.2639,9.5018,confirmed,0
2020-08-03,NA,Denmark,56.2639,9.5018,confirmed,207
2020-08-04,NA,Denmark,56.2639,9.5018,confirmed,77
2020-08-05,NA,Denmark,56.2639,9.5018,confirmed,112
2020-08-06,NA,Denmark,56.2639,9.5018,confirmed,121
2020-08-07,NA,Denmark,56.2639,9.5018,confirmed,136
2020-08-08,NA,Denmark,56.2639,9.5018,confirmed,0
2020-08-09,NA,Denmark,56.2639,9.5018,confirmed,0
2020-08-10,NA,Denmark,56.2639,9.5018,confirmed,373
2020-08-11,NA,Denmark,56.2639,9.5018,confirmed,144
2020-08-12,NA,Denmark,56.2639,9.5018,confirmed,111
2020-08-13,NA,Denmark,56.2639,9.5018,confirmed,144
2020-08-14,NA,Denmark,56.2639,9.5018,confirmed,165
2020-08-15,NA,Denmark,56.2639,9.5018,confirmed,104
2020-08-16,NA,Denmark,56.2639,9.5018,confirmed,134
2020-08-17,NA,Denmark,56.2639,9.5018,confirmed,123
2020-08-18,NA,Denmark,56.2639,9.5018,confirmed,115
2020-08-19,NA,Denmark,56.2639,9.5018,confirmed,85
2020-08-20,NA,Denmark,56.2639,9.5018,confirmed,116
2020-08-21,NA,Denmark,56.2639,9.5018,confirmed,71
2020-08-22,NA,Denmark,56.2639,9.5018,confirmed,112
2020-08-23,NA,Denmark,56.2639,9.5018,confirmed,78
2020-08-24,NA,Denmark,56.2639,9.5018,confirmed,80
