"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
1999,1,6,0,291,5.2,7.7,0.58,10,4.21,999,1025.1,-3.1,4.9,999,99
1999,1,6,1,300,6,7.9,0.63,10,4.19,999,1025.2,-3.3,4.8,999,99
1999,1,6,2,291,5.6,7.5,0.57,10,4.04,999,1025.4,-3.5,4.9,999,99
1999,1,6,3,291,4.8,7.3,0.59,10,4.48,999,1025.3,-3.8,4.8,999,99
1999,1,6,4,274,5.4,7.6,0.48,10,4.12,999,1025.7,-3.8,4.8,999,99
1999,1,6,5,284,6.2,8.2,0.5,10,3.72,999,1025.4,-3.7,4.9,999,99
1999,1,6,6,269,5.8,7.1,0.53,10,3.61,999,1025.2,-3.9,5.1,999,99
1999,1,6,7,291,6.7,8.1,0.52,10,3.56,999,1025.2,-3.9,5.1,999,99
1999,1,6,8,286,5.6,6.9,0.52,3.03,3.61,999,1025.2,-3.9,5.1,999,99
1999,1,6,9,268,5.5,6.8,0.47,10,3.69,999,1025,-4,5.1,999,99
1999,1,6,10,278,3.6,4.9,0.43,9.09,4.29,999,1025,-4.1,5,999,99
1999,1,6,11,261,2.7,4.1,0.38,10,6.24,999,1025.7,-4.2,4.8,999,99
1999,1,6,12,225,2.1,3.4,0.36,10,7.18,999,1026,-4.3,4.8,999,99
1999,1,6,13,201,3.3,4.8,0.37,10,7,999,1026,-4.2,4.8,999,99
1999,1,6,14,170,3.9,5.5,0.38,10,6.82,999,1026.1,-3.8,4.8,999,99
1999,1,6,15,169,5.6,7.1,0.38,10,6.63,999,1025.6,-3.1,5.1,999,99
1999,1,6,16,177,5.7,7.3,0.38,10,4.55,999,1024.6,-3.1,5.1,999,99
1999,1,6,17,184,6.4,8.6,0.45,10,3.7,999,1023.5,-2.3,5.1,999,99
1999,1,6,18,170,7.7,9.9,0.56,3.03,3.44,999,1021.3,-2,5.1,999,99
1999,1,6,19,176,7.7,9.7,0.58,3.23,3.59,999,1020.5,-1.7,5.1,999,99
1999,1,6,20,170,7.6,9.3,0.54,3.45,3.59,999,1019.5,-1.5,5.1,999,99
1999,1,6,21,188,8.5,11.2,0.63,3.85,3.72,999,1018.8,-0.4,5.1,999,99
1999,1,6,22,188,9.9,11.3,0.77,4,3.48,999,1018.1,0,5.1,999,99
1999,1,6,23,200,9.5,12.3,0.75,2.78,3.31,999,1018.1,0.1,5.1,999,99
1999,1,7,0,194,7.9,10.8,0.8,3.12,3.49,999,1017.9,-0.9,5.1,999,99
1999,1,7,1,187,8.6,10.4,0.66,3.7,3.65,999,1016.6,-1.1,5.1,999,99
1999,1,7,2,197,9.1,10.9,0.66,3.7,3.66,999,1015.9,-0.3,5.1,999,99
1999,1,7,3,204,8.3,9.9,0.71,2.94,3.6,999,1015.7,0.4,5.1,999,99
1999,1,7,4,214,9.9,12.2,0.75,3.23,3.49,999,1014.7,0.7,5.1,999,99
1999,1,7,5,211,9.8,11.4,0.84,3.57,3.6,999,1014.2,0.8,5.1,999,99
1999,1,7,6,210,10.4,13.4,0.87,3.7,3.64,999,1013.2,1.2,5,999,99
1999,1,7,7,210,9.9,12,0.78,3.57,3.44,999,1012.9,1.5,5,999,99
1999,1,7,8,208,10.5,14.2,0.79,3.33,3.35,999,1012.7,1.6,4.9,999,99
1999,1,7,9,212,9.8,12.1,0.74,3.23,3.35,999,1012.2,0.5,5.1,999,99
1999,1,7,10,213,9.9,11.9,0.68,3.03,3.31,999,1011.9,0.9,4.9,999,99
1999,1,7,11,221,9.3,11.9,0.64,2.94,3.27,999,1012.5,0.9,4.8,999,99
1999,1,7,12,218,8.9,11.2,0.66,3.23,3.24,999,1012.8,0.9,4.8,999,99
1999,1,7,13,232,9.2,11.9,0.69,3.33,3.32,999,1013.6,1,4.8,999,99
1999,1,7,14,245,10.4,13.8,0.77,3.45,3.4,999,1014.7,0.8,4.8,999,99
1999,1,7,15,999,99,99,99,99,99,999,9999,999,999,999,99
1999,1,7,16,280,10.2,12.6,0.88,3.85,3.64,999,1016.3,-0.3,4.8,999,99
1999,1,7,17,278,10.9,13.3,0.99,4.17,3.81,999,1016.3,-0.5,4.8,999,99
1999,1,7,18,266,11.5,14.3,1.02,4.17,3.83,999,1016.4,-0.7,4.8,999,99
1999,1,7,19,290,10.8,12.6,0.99,4.35,3.75,999,1017.4,-0.8,4.8,999,99
1999,1,7,20,295,10.9,13.8,1.08,4.35,3.84,999,1018.6,-1.4,4.9,999,99
1999,1,7,21,288,9.8,13.8,1.14,4.17,3.77,999,1019.9,-1.8,4.8,999,99
1999,1,7,22,287,9.5,12.8,1.02,3.7,3.64,999,1021.7,-2.4,4.8,999,99
1999,1,7,23,282,9.5,11.9,0.98,3.7,3.57,999,1023.3,-3,4.8,999,99
1999,1,8,0,285,9.5,12.4,0.76,3.7,3.5,999,1024.6,-3.4,4.8,999,99
1999,1,8,1,279,9.6,11.9,0.76,3.57,3.44,999,1025.8,-3.9,4.8,999,99
1999,1,8,2,285,7.6,10.3,0.65,3.33,3.37,999,1027.1,-4.2,4.8,999,99
1999,1,8,3,267,6.4,8.2,0.54,3.23,3.3,999,1027.5,-4.6,4.8,999,99
1999,1,8,4,277,7.6,9.8,0.54,3.12,3.32,999,1028.2,-4.2,4.8,999,99
1999,1,8,5,264,8.3,12,0.5,3.12,3.19,999,1028.6,-4.3,4.8,999,99
1999,1,8,6,262,10.9,13.7,0.79,3.57,3.46,999,1028.6,-4.6,4.8,999,99
