"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
97,1,11,9,220,9.3,11.7,0.79,3.12,3.37,217,999.7,2.4,5.6,999,99
97,1,11,10,213,7.5,9.2,0.72,2.94,3.32,215,999,2.3,5.6,999,99
97,1,11,11,215,7.1,8.8,0.65,11.11,3.65,90,999.3,2.2,5.6,999,99
97,1,11,12,285,7,8.8,0.55,11.11,4.03,94,998.5,-0.3,5.6,999,99
97,1,11,13,320,6.8,7.7,0.51,11.11,3.76,91,997.1,-1.3,5.6,999,99
97,1,11,14,322,5.9,7.1,0.53,11.11,3.69,98,997.2,-1.4,5.5,999,99
97,1,11,15,325,6.7,7.7,0.57,11.11,3.81,110,996.8,-1.5,5.5,999,99
97,1,11,16,314,9.2,10.9,0.59,11.11,3.51,107,996.9,-1.8,5.5,999,99
97,1,11,17,295,9.8,12,0.79,3.45,3.56,321,997,-1.9,5.6,999,99
97,1,11,18,282,9.2,12.2,0.92,3.57,3.72,316,997.5,-1.4,5.6,999,99
97,1,11,19,270,11.9,14.9,0.95,3.7,3.74,293,998.3,-0.5,5.6,999,99
97,1,11,20,261,12.6,15.7,1.09,4,3.78,289,999.5,-0.2,5.6,999,99
97,1,11,21,266,12.6,14.4,1.18,4.17,3.87,279,1000.8,-0.4,5.6,999,99
97,1,11,22,272,12.2,16.4,1.21,4.35,3.88,287,1002.1,-0.7,5.6,999,99
97,1,11,23,271,12.2,14.9,1.07,4,3.8,285,1003.1,-1,5.6,999,99
97,1,12,0,277,11.8,15.4,0.93,3.85,3.67,290,1004.1,-1.5,5.6,999,99
97,1,12,1,266,11.6,14.8,0.91,3.7,3.58,280,1005.2,-1.7,5.6,999,99
97,1,12,2,264,11.3,13.8,1,3.85,3.67,272,1006.3,-2.3,5.5,999,99
97,1,12,3,251,12.6,15.8,1.05,4.17,3.75,276,1006.5,-2.4,5.5,999,99
97,1,12,4,259,12.1,15.3,1.07,4.17,3.8,273,1007.2,-2.8,5.5,999,99
97,1,12,5,249,11.9,16.9,1.13,4.35,3.87,269,1007.4,-3,5.5,999,99
97,1,12,6,249,11,14.1,1.04,4,3.8,268,1007.5,-3.3,5.6,999,99
97,1,12,7,244,10,13.7,0.99,4,3.67,264,1008.6,-3.8,5.6,999,99
97,1,12,8,241,11.4,13.8,99,99,99,999,1009.1,-3.8,5.5,999,99
97,1,12,9,241,11.9,14.6,1.02,3.7,3.49,256,1009.6,-4.1,5.5,999,99
97,1,12,10,235,11.4,14.1,1.16,4,3.76,256,1010.4,-4.4,5.5,999,99
97,1,12,11,232,11.8,14.3,1.06,3.7,3.62,255,1011,-4.6,5.5,999,99
97,1,12,12,235,12.9,15.2,1.07,4,3.68,248,1011.3,-5,5.5,999,99
97,1,12,13,244,12.2,14.8,1.19,4.17,3.81,251,1012,-5.1,5.5,999,99
97,1,12,14,246,12.2,14.6,1.08,4,3.79,252,1012.6,-5,5.5,999,99
97,1,12,15,247,12.1,15.4,1.21,4.35,3.94,257,1012.7,-4.6,5.5,999,99
97,1,12,16,254,12.8,16.1,1.13,4.35,3.87,263,1011.8,-3.5,5.5,999,99
97,1,12,17,252,12,15,1.23,4.55,3.97,270,1011,-2.7,5.5,999,99
97,1,12,18,260,11.9,15.1,1.2,4.55,3.9,267,1010.4,-2.2,5.5,999,99
97,1,12,19,261,10.5,13.1,1.16,4.55,3.92,270,1010.3,-1.3,5.5,999,99
97,1,12,20,270,11.7,14,1.38,4.55,3.99,282,1010.8,-0.7,5.5,999,99
97,1,12,21,263,12.2,16,1.22,4.55,3.92,284,1011,-0.7,5.5,999,99
97,1,12,22,268,12.9,16.9,1.16,4.17,3.79,282,1011.2,-1,5.5,999,99
97,1,12,23,269,11.8,14,1.14,4,3.76,276,1012.3,-1.2,5.5,999,99
97,1,13,0,259,13.3,16.3,1.12,4.17,3.68,285,1012.6,-1.5,5.5,999,99
97,1,13,1,266,12.6,15.9,1.14,4.17,3.79,277,1013.1,-1.6,5.2,999,99
97,1,13,2,266,12.7,16.1,1.06,4.17,3.78,278,1013,-1.8,5.5,999,99
97,1,13,3,268,12,15,1.03,4.35,3.76,277,1013.4,-1.7,5.5,999,99
